year,level_1,level_2,level_3,level_4,value
2015,Married,Total,Total,Toa Payoh,58.6
2015,Married,Total,Total,Woodlands,122.6
2015,Married,Total,Total,Yishun,102.9
2015,Married,Total,Total,Others,18.9
2015,Married,Males,Total,Ang Mo Kio,44.1
2015,Married,Males,Total,Bedok,68.2
2015,Married,Males,Total,Bishan,22.4
2015,Married,Males,Total,Bukit Batok,34.4
2015,Married,Males,Total,Bukit Merah,36.7
2015,Married,Males,Total,Bukit Panjang,38.3
2015,Married,Males,Total,Bukit Timah,19.9
2015,Married,Males,Total,Choa Chu Kang,44.8
2015,Married,Males,Total,Clementi,22
2015,Married,Males,Total,Geylang,26.3
2015,Married,Males,Total,Hougang,53.5
2015,Married,Males,Total,Jurong East,21.5
2015,Married,Males,Total,Jurong West,73.6
2015,Married,Males,Total,Kallang,23.9
2015,Married,Males,Total,Marine Parade,10.2
2015,Married,Males,Total,Novena,11.2
2015,Married,Males,Total,Outram,5.2
2015,Married,Males,Total,Pasir Ris,36
2015,Married,Males,Total,Punggol,30.5
2015,Married,Males,Total,Queenstown,22.7
2015,Married,Males,Total,Sembawang,21.2
2015,Married,Males,Total,Sengkang,61.7
2015,Married,Males,Total,Serangoon,30.4
2015,Married,Males,Total,Tampines,67.6
2015,Married,Males,Total,Tanglin,4.8
2015,Married,Males,Total,Toa Payoh,29.8
2015,Married,Males,Total,Woodlands,62.1
2015,Married,Males,Total,Yishun,51.8
2015,Married,Males,Total,Others,10.1
2015,Married,Females,Total,Ang Mo Kio,43.9
2015,Married,Females,Total,Bedok,67.4
2015,Married,Females,Total,Bishan,21.9
2015,Married,Females,Total,Bukit Batok,34.1
2015,Married,Females,Total,Bukit Merah,35.1
2015,Married,Females,Total,Bukit Panjang,37.2
2015,Married,Females,Total,Bukit Timah,19.6
2015,Married,Females,Total,Choa Chu Kang,44.6
2015,Married,Females,Total,Clementi,21.1
2015,Married,Females,Total,Geylang,24.8
2015,Married,Females,Total,Hougang,52.9
2015,Married,Females,Total,Jurong East,20.2
2015,Married,Females,Total,Jurong West,72.2
2015,Married,Females,Total,Kallang,22.6
2015,Married,Females,Total,Marine Parade,10
2015,Married,Females,Total,Novena,10.9
2015,Married,Females,Total,Outram,4.8
2015,Married,Females,Total,Pasir Ris,35.2
2015,Married,Females,Total,Punggol,30.7
2015,Married,Females,Total,Queenstown,20.8
2015,Married,Females,Total,Sembawang,20.7
2015,Married,Females,Total,Sengkang,60.5
