Postal Code,Distance to MRT
730548,1105.0893029704275
730326,612.235027164088
730325,591.6950680508746
730306,345.2347397620306
730304,367.11159886632754
730303,311.5441705551578
730302,133.43391692460034
730211,1535.4962218835353
730210,1442.8318928844196
730204,1056.8780531104246
730167,206.79243706546941
730166,179.59245560919527
730136,721.0090212320005
730132,614.040918769261
730131,809.4184293167773
730111,496.2629744192903
730021,1248.6324105960266
730020,1189.3494938313743
730019,1189.810147467868
730018,1211.2323103778983
729939,1976.9248755680387
729938,2073.8437779841756
729937,2035.922804180772
729932,2204.920242347458
729907,1868.325826254958
729826,3682.1260285860094
729759,1838.1361882374645
729642,1871.9096936199207
729577,2241.285619315601
729575,2189.1707362234597
729563,1767.4875686326832
729507,2552.567830366957
729493,2437.223150665037
729488,2386.3518922525177
729455,2406.8576500838312
729374,1460.4485735083654
729363,1184.6673912297713
729358,1362.0543409015274
729341,1947.288576599294
729335,1899.6154569739779
729244,1937.0154548168891
729243,1714.3036179563053
729234,2022.2726562343253
729143,1946.9847684655124
729137,1567.8362521324743
729054,1970.797106621061
729048,2090.399993093398
728956,1776.3849821918332
728953,1689.6768017237337
728862,1483.1403223316092
728794,2397.490840711681
728787,2267.711564075122
728697,1906.4165652264207
728645,2153.389682335748
719026,4747.75081902865
718898,4047.0421109306835
718837,6528.421470114595
718830,4002.843931059213
718828,3705.4031168382885
718813,4751.174863484954
709155,4799.918827449971
709154,4727.20095026844
699817,1799.7434420460716
699008,1945.33718754367
698985,1392.3732853792314
698950,2434.863226232653
698928,1869.7549464681565
698918,1674.0024015226838
689905,946.9664736180355
689858,1097.550347324855
689814,1070.0845070757914
689812,196.6928863171271
689810,0.0
689809,676.8126818940722
689762,545.8272218658047
689716,1151.743854496309
689715,0.0
689621,1156.32223087554
689578,1312.840344360212
689477,1001.741680017557
689474,1047.3581776640312
689472,1034.3517815276589
689463,990.8139432684706
689333,606.9657656583701
689286,1025.1652911641465
689285,959.4370443175989
689236,751.8589872309756
689189,1023.511155335141
689143,1613.6605510993597
689100,1477.4981383751694
688892,911.4634476535599
688848,1535.18287383884
688846,1021.8919882006916
688845,857.7799767651636
688786,1049.6103796556677
688268,1913.9928314992358
688263,422.5634773654946
688261,1160.5983235756999
688258,1191.3075684821906
688241,1360.2529467516313
688237,1417.1624588541333
688236,1536.571447045174
682673,1747.7152123020933
681787,1143.9679687335222
681678,1768.1391137414662
681668,1863.9051050277023
681429,493.8052599806462
681165,1072.3285319279685
681160,1480.2614082710209
680624,1406.5446750707677
680623,1432.8435949891561
680534,739.2422112875026
680533,744.3293687476114
680475,1079.589247519937
680423,590.0787820637457
680303,567.9778344023964
680302,564.8022659706415
680253,913.4908882376014
680230,622.3749289826175
680204,822.8172747214954
680145,1049.1161646463572
680144,1125.1853906225967
680143,1130.72108037191
680141,1110.1625810250189
680138,1082.9944111111913
680137,1076.5463592969775
680026,1383.9791026382268
680016,1401.330100813385
679947,1566.9165091369616
679946,2139.1059276736637
679945,1792.8369884793622
679944,1931.72885700602
679938,1827.8789390848256
679910,1175.1424290518876
679697,154.83808496855676
679676,642.6055134081515
679675,552.0187975474306
679301,676.3061898594624
679287,245.56835521834233
679043,411.526446069124
679002,1291.0147055783154
678972,690.2146722726005
678295,1038.8083211823543
678265,918.5496873617514
678213,0.0
678205,869.0808029497854
678202,854.4423379276916
678154,462.8747751585089
678145,417.810917470294
678133,372.9377788960427
678122,353.36609017658935
678117,313.0393611808027
678095,45.84610695928054
678093,62.89246404709925
678076,266.86781697773847
678069,300.4320354760767
678068,311.54418248554686
678066,322.65684263641367
678062,344.8834778174444
678060,356.5176656414463
678056,389.81676158680995
678053,412.02150168638644
678052,423.1252286380393
678051,434.2297469106992
678050,434.2297469106992
678049,458.0625008117049
678048,457.1173184412262
678046,479.2997894279797
677944,1590.5279024004146
677899,1610.0634304674593
677744,1838.3306314191702
677743,1145.7931678397986
677742,1628.0007862925513
677741,2127.340290557597
677737,1774.887578887339
677729,1533.2823430799608
673635,1558.8137248879793
671524,1813.6976962223007
671259,1265.7299933390293
671163,835.1465072049298
671152,700.16882187491
670628,1758.0901952765923
670547,814.228987738955
670485,2268.00792197833
670445,1713.9627296180731
670260,1394.1521695169552
670258,1320.7385612171288
670257,1376.8852188427684
670117,1010.7165559810697
670103,1166.6504560976352
669907,910.2588660261237
669902,921.2565898408617
669893,928.6047722877212
669890,919.1751539051113
669887,912.70614097245
669594,888.3890708126361
669569,732.1921630392435
669269,935.561799163728
669249,899.6821262526205
668158,1243.03203479407
668156,1251.211304211291
667979,351.6192557313893
659959,305.2714068263239
659958,0.0
659879,1174.927121825301
659841,923.2649529381906
659762,826.0417517138392
659760,1671.3508066089332
659634,566.0339354795441
659633,413.6290533050447
659589,567.5297757882346
659578,1332.0701128758733
659554,954.7367955833718
659549,1233.9673645554308
659524,701.2212354747744
659519,1044.5184036645496
659480,940.621918823166
659441,468.07754949344417
659401,555.0850055081785
659322,639.2407260675955
659250,677.4388197030835
659243,616.6735833269371
659206,545.2964512415565
659168,978.5321314663962
659166,1062.9527371423703
659164,411.5013441529312
659163,1047.0702622971894
659088,194.49720197325001
659085,906.1379370810348
659084,446.56978129986334
659083,0.0
659003,956.298735413593
